ZipCode|ZipCodeType|City|State|Lattitude|Longitude|Location
58422|Standard|Cathay|ND|47.55|-99.41|NA-US-ND-CATHAY
58423|Standard|Chaseley|ND|47.45|-99.80|NA-US-ND-CHASELEY
58424|Standard|Cleveland|ND|46.89|-99.12|NA-US-ND-CLEVELAND
58425|Standard|Cooperstown|ND|47.44|-98.12|NA-US-ND-COOPERSTOWN
58426|Standard|Courtenay|ND|47.22|-98.56|NA-US-ND-COURTENAY
58428|Standard|Dawson|ND|46.86|-99.75|NA-US-ND-DAWSON
58429|Standard|Dazey|ND|47.18|-98.20|NA-US-ND-DAZEY
58430|Standard|Denhoff|ND|47.48|-100.26|NA-US-ND-DENHOFF
58431|Standard|Dickey|ND|46.53|-98.46|NA-US-ND-DICKEY
58433|Standard|Edgeley|ND|46.36|-98.71|NA-US-ND-EDGELEY
58436|Standard|Ellendale|ND|46.00|-98.52|NA-US-ND-ELLENDALE
58438|Standard|Fessenden|ND|47.64|-99.62|NA-US-ND-FESSENDEN
58439|Standard|Forbes|ND|45.94|-98.78|NA-US-ND-FORBES
58440|Standard|Fredonia|ND|46.32|-99.09|NA-US-ND-FREDONIA
58441|Standard|Fullerton|ND|46.16|-98.42|NA-US-ND-FULLERTON
58442|Standard|Gackle|ND|46.62|-99.14|NA-US-ND-GACKLE
58443|Standard|Glenfield|ND|47.45|-98.56|NA-US-ND-GLENFIELD
58444|Standard|Goodrich|ND|47.47|-100.12|NA-US-ND-GOODRICH
58445|Standard|Grace City|ND|47.55|-98.80|NA-US-ND-GRACE CITY
58448|Standard|Hannaford|ND|47.31|-98.18|NA-US-ND-HANNAFORD
58451|Standard|Hurdsfield|ND|47.44|-99.93|NA-US-ND-HURDSFIELD
58452|Standard|Jessie|ND|47.54|-98.23|NA-US-ND-JESSIE
58454|Standard|Jud|ND|46.52|-98.89|NA-US-ND-JUD
58455|Standard|Kensal|ND|47.30|-98.73|NA-US-ND-KENSAL
58456|Standard|Kulm|ND|46.30|-98.94|NA-US-ND-KULM
58458|Standard|Lamoure|ND|46.37|-98.28|NA-US-ND-LAMOURE
58460|Standard|Lehr|ND|46.28|-99.35|NA-US-ND-LEHR
58461|Standard|Litchville|ND|46.65|-98.19|NA-US-ND-LITCHVILLE
