RoutingNumber|TelegraphicName|CustomerName|City|State|ZipCode
021082434|Mf Prgf Operation|IntL Monetary Fund-Prgf Oper.Acct.|New York|NY|
021082447|Mf Prgf Subsidy|IntL Monetary Fund-Prgf Subsidy Acc|New York|NY|
021082450|Mf Tr Fund Cash|Imf Tr Fund Cash/foreign Department|New York|NY|
021082492|Mf Emergency|Imf Emergency/foreign Department|New York|NY|
021082502|Ortugal Ops Acct2|Banco De Portugal Ops Acct 2|New York|NY|
021082528|Hana Hrtg|Ghana - Heritage Fund Acct|New York|NY|
021082531|Hana Stblzn|Ghana - Stabilization Fund Acct|New York|NY|
021082544|Srael Mof Sp Two|Govt of Israel Mof Sp No. 2|New York|NY|
021082557|Ongolia Ramp|Bank of Mongolia Ramp Account|New York|NY|
021082573|Cra Restrained 2|Bc Argentina Restrained Funds Acct2|New York|NY|
021082586|Oldova Ramp|National Bank of Moldova - Ramp Acct|New York|NY|
021082599|Cb - Ops Acct 1|European Central Bank-Oper Acct 1|New York|NY|
021082609|Ec Treas Spec Acc|Sec Treas Spec Acc/foreign Dept|New York|NY|
021082612|Ec Treas|Sec Treas Spec #3/foreign Dept|New York|NY|
021082625|Ec Treas|Sec Treas Special/foreign Dept|New York|NY|
021082667|Oland Des Acct|Narodowy Bank Polski Designated Acct|New York|NY|
021082748|Otswana Blocked|Bank of Botswana-Blocked Assets|New York|NY|
021082793|Ivil Penalty Fund|Consumer Finl Civil Penalty Fund|New York|NY|
021082803|Ns - Ops Acct 1|Bns - Ops Acct 1|New York|NY|
021082816|Rg Usd Dis L Ic|Argentina Usd Dis Ser L/foreign Dept|New York|NY|
021082829|Rg Usd Dis U Ic|Argentina Usd Dis Ser U/foreign Dept|New York|NY|
021082832|Rg Usd Par L Ic|Argentina Usd Par Ser L/foreign Dept|New York|NY|
021082845|Rg Usd Par U Ic|Argentina Usd Par Ser U/foreign Dept|New York|NY|
021082858|Rg Fl Bond Ic|Arg Floating Rate/foreign Department|New York|NY|
021082861|Rg Fl Bond Two Ic|Arg Floating Rate Bond Acct/foreign|New York|NY|
021082874|Oc - Ops Acct 2|Boc - Ops Acct 2|New York|NY|
021082887|B Yemen- Ip Acct|Central Bank of Yemen- Ip Acct|New York|NY|
021082926|Raq Account No 2|Central Bank of Iraq Account No 2|New York|NY|
021082939|Atvia-Ops Acct 1|Latvijas Banka - Ops Acct 1|New York|NY|
021082942|Auritania Ramp|Banque Centrale De Mauritanie- Ramp|New York|NY|
021082968|Amaica Ramp|Bank of Jamaica- Ramp Account|New York|NY|
021082971|Elarus Ramp|Natl Bk of the Rep of Belarus Ramp|New York|NY|
021082997|Ulgaria|Bulgarian National Bank|New York|NY|
021083019|Fghanistan|Afghanistan/foreign Department|New York|NY|
021083035|Lgeria|Algeria/foreign Department|New York|NY|
021083064|Esterriechische|Oesterriechische Foreign Department|New York|NY|
021083093|Rgentina|Argentina/foreign Department|New York|NY|
021083116|Ustralia|Australia/foreign Department|New York|NY|
021083129|Ustralia Fms|Australia Fms/foreign Department|New York|NY|
021083132|Ustria|Austria/foreign Department|New York|NY|
021083158|Ahamas|Bahamas/foreign Department|New York|NY|
021083161|Ahrain Account|Bahrain Account/foreign Department|New York|NY|
021083174|Ahrain Mon Agency|Bahrain Mon Agency/foreign Dept|New York|NY|
021083190|Angladesh|Bangladesh/foreign Department|New York|NY|
021083213|Arbados|Barbados/foreign Department|New York|NY|
021083239|Arbados Sink Fund|Barbados Sink Fund/foreign Dept|New York|NY|
021083255|Elgium a|Belgium A/foreign Department|New York|NY|
021083268|Elgium B|Belgium B/foreign Department|New York|NY|
021083271|Elize|Belize/foreign Department|New York|NY|
021083297|Ermuda|Bermuda/foreign Department|New York|NY|
021083310|Olivia|Banco Central De Bolivia|New York|NY|
021083352|Otswana|Botswana/foreign Department|New York|NY|
021083394|Razil|Banco Central Do Brazil|New York|NY|
021083433|Urundi|Burundi/foreign Department|New York|NY|
021083459|Frique Centrale|Afrique Centrale/foreign Department|New York|NY|
021083462|Anada General|Bank of Canada General Account|New York|NY|
021083491|Anada Fiscal Agt|Bank of Canada Fiscal Agent|New York|NY|
021083527|Ri Lanka G|Sri Lanka Acct G/foreign Department|New York|NY|
021083530|Hile|Chile/foreign Department|New York|NY|
021083543|K China Fms|Bk China Fms/foreign Department|New York|NY|
021083569|K China Edhgs Fms|Bk China Edhgs Fms/foreign Dept|New York|NY|
021083572|Olombia|Colombia/foreign Department|New York|NY|
021083598|Osta Rica|Costa Rica/foreign Department|New York|NY|
021083611|Yprus|Cyprus/foreign Department|New York|NY|
021083640|Anmarks Acct|Danmarks Acct A/foreigh Department|New York|NY|
021083653|Enmark|Danmarks/foreign Department|New York|NY|
021083666|Enmark Sep|Danmarks Sep Account/foreign Dept|New York|NY|
021083679|Ominican Republic|Dominican Republic/foreign Dept|New York|NY|
021083682|Jibouti|Central Bank of Djibouti|New York|NY|
021083718|Cuador|Ecuador/foreign Department|New York|NY|
021083750|Gypt|Egypt/foreign Department|New York|NY|
021083776|Gypt Sub|Egypt Sub/foreign Department|New York|NY|
021083792|L Salvador|El Salvador/foreign Department|New York|NY|
021083802|Uropean Inv Bk P|European Inv Bk P/foreign Dept|New York|NY|
021083831|Thiopia|Ethiopia/foreign Department|New York|NY|
021083873|Iji|Fiji/foreign Department|New York|NY|
021083886|Ato Sa - Fms|Nato Support Agency - Fms Account|New York|NY|
021083899|Inland|Finland/foreign Department|New York|NY|
021083912|Rance Ordinary|France Ordinary/foreign Department|New York|NY|
021083925|Auritius Ramp|Bank of Mauritius-Ramp Account|New York|NY|
021083970|He Gambia|The Gambia/foreign Department|New York|NY|
021084005|Ermany Spec|Germany Spec/foreign Department|New York|NY|
021084018|Ermany|Germany/foreign Department|New York|NY|
021084034|Hana|Ghana/foreign Department|New York|NY|
021084050|Reece a|Greece A/foreign Department|New York|NY|
021084076|Uatemala|Banco De Guatemala|New York|NY|
021084092|Uyana|Guyana/foreign Department|New York|NY|
021084131|Onduras|Honduras/foreign Department|New York|NY|
021084157|Ong Kong|Hong Kong/foreign Department|New York|NY|
021084173|Ungary|Hungary/foreign Department|New York|NY|
021084199|Celand|Iceland/foreign Department|New York|NY|
021084212|Ndia|India/foreign Department|New York|NY|
021084238|Ndonesia|Indonesia/foreign Department|New York|NY|
021084377|Reland|Cent Bk & Fin Svcs Auth of Ireland|New York|NY|
021084393|Srael|Israel/foreign Department|New York|NY|
021084416|Srael Govt|Israel Govt/foreign Department|New York|NY|
